map | bản đồ
government | chính phủ
way | đường
art | nghệ thuật
world | thế giới
computer | máy tính
people | người
two | hai
family | gia đình
history | lịch sử
health | sức khỏe
system | hệ thống
information | thông tin
meat | thịt
year | năm
thanks | lời cảm ơn
music | âm nhạc
person | người
reading | cách đọc
method | phương pháp
data | dữ liệu
food | thức ăn
understanding | hiểu biết
theory | lý thuyết
law | pháp luật
bird | chim
literature | văn chương
problem | vấn đề
software | phần mềm
control | điều khiển
knowledge | kiến thức
power | quyền lực
ability | khả năng
economics | kinh tế học
love | tình yêu
internet | internet
television | tivi
science | khoa học
library | thư viện
nature | bản chất
fact | việc
product | sản phẩm
idea | ý kiến
temperature | nhiệt độ
investment | đầu tư
area | khu vực
society | xã hội
activity | hoạt động
story | câu chuyện
industry | ngành công nghiệp
media | phương tiện truyền thông
thing | những vật
oven | lò nướng
community | cộng đồng
definition | định nghĩa
safety | sự an toàn
quality | chất lượng
development | phát triển
language | ngôn ngữ
management | quản lý
player | người chơi
variety | đa dạng
video | video
week | tuần
security | an ninh
country | nước
exam | thi
movie | phim
organization | cơ quan
equipment | thiết bị
physics | vật lý
analysis | nghiên cứu
policy | chính sách
series | loạt
thought | tư tưởng
basis | căn cứ
boyfriend | bạn trai
direction | phương hướng
strategy | chiến lược
technology | công nghệ
army | quân đội
camera | máy chụp hình
freedom | sự tự do
paper | giấy
environment | môi trường
child | trẻ em
instance | trường hợp
month | tháng
truth | sự thật
marketing | thị trường
university | trường đại học
writing | hiện ra, sự viết
article | điều khoản
department | bộ
difference | khác nhau
goal | mục tiêu
news | tin tức
audience | khán giả
fishing | câu cá
growth | sự tăng trưởng
income | lợi tức
marriage | hôn nhân
user | người sử dụng
combination | phối hợp
failure | thất bại
meaning | nghĩa
medicine | y học
philosophy | triết học
teacher | giáo viên
communication | liên lạc
night | đêm
chemistry | hóa học
disease | căn bệnh
disk | đĩa
energy | năng lượng
nation | quốc gia
road | đường
role | vai trò
soup | soup
advertising | quảng cáo
location | vị trí
success | sự thành công
addition | thêm vào
apartment | căn hộ
education | sự giáo dục
math | toán học
moment | chốc lát
painting | bức tranh
politics | chính trị
attention | chú ý
decision | phán quyết
event | biến cố
property | bất động sản
shopping | mua sắm
student | sinh viên
wood | gỗ
competition | cuộc thi
distribution | phân phát
entertainment | giải trí
office | văn phòng
population | dân số
president | chủ tịch
unit | đơn vị
category | thể loại
cigarette | thuốc lá
context | bối cảnh
introduction | sự giới thiệu
opportunity | cơ hội
performance | hiệu suất
driver | người lái xe
flight | chuyến bay
length | chiều dài
magazine | tạp chí
newspaper | báo
relationship | mối quan hệ
teaching | giảng dạy
cell | tế bào
dealer | người chia bài
debate | tranh luận
finding | phát hiện
lake | hồ
member | thành viên
message | thông điệp
phone | điện thoại
scene | sân khấu
appearance | xuất hiện
association | sự kết hợp
concept | khái niệm
customer | khách hàng
death | sự chết
discussion | thảo luận
housing | nhà ở
inflation | sự lạm phát
insurance | bảo hiểm
mood | khí sắc
woman | đàn bà
advice | lời khuyên
blood | máu
effort | cố gắng
expression | biểu hiện
importance | tầm quan trọng
opinion | ý kiến
payment | thanh toán
reality | thực tế
responsibility | trách nhiệm
situation | tình hình
skill | kỹ năng
statement | tuyên bố
wealth | sự giàu có
